Week,Quarter,Store, Total , CHRISTMAS , CLEARANCE , CLEARENCE , CONFECTIONERY , DIY , ELECTRICAL , FOOD , FROZEN FOOD , DD Gardening , GARDENING , GIFTWARES , Grocery Seasonal , DD Paint , H&B Gift , HEALTH & BEAUTY , HOMEWARES , HOUSEHOLD TEXTILES , INDOOR FURNITURE , INTERNAL USE , PAPER GOODS & CLEANING , PET FOOD , SOFT DRINKS , STATIONERY , TEXTILES , TOYS , NON ALCOHOLIC DRINKS 
31,3, Centz Patrick Street ,"€13,384.51", € -   ,€1.50, € -   ,"€2,326.80",€67.39,€617.28,"€2,807.04",€86.50, € -   ,€256.38,€177.56, € -   , € -   ,€128.16,"€1,171.10",€177.09, € -   , € -   , € -   ,"€1,784.87",€299.51,"€2,729.01",€235.76, € -   ,€518.56, € -   
31,3, Centz Cork Street ,"€7,955.70", € -   , € -   , € -   ,"€1,087.68",€85.19,€400.23,"€1,291.66", € -   , € -   ,€200.45,€470.30, € -   , € -   ,€121.66,€549.07,€250.60,€19.04,€15.61, € -   ,"€1,223.04",€209.99,"€1,243.98",€163.22, € -   ,€623.98, € -   
31,3, Centz Kinvara ,"€11,206.30", € -   , € -   , € -   ,"€2,565.54",€66.04,€204.96,"€2,848.78", € -   , € -   ,€114.93,€254.32, € -   , € -   ,€85.50,€587.00,€211.47,€34.12,€19.91, € -   ,"€1,399.15",€200.23,"€1,852.56",€456.41,€29.94,€275.44, € -   
31,3, Homesavers Arklow ,"€23,548.93",€5.97, € -   , € -   ,"€1,849.25",€713.03,"€1,214.81","€3,545.04", € -   ,€30.33,"€1,411.65","€1,307.48",€22.09,€389.89,€236.38,"€1,584.86","€1,676.19","€1,049.59",€381.87, € -   ,"€2,425.58",€922.12,"€2,076.28",€962.79,€117.20,"€1,626.53", € -   
31,3, Homesavers Westpoint Athlone (A) ,"€22,456.74",€27.77, € -   , € -   ,"€2,169.82", € -   ,"€2,117.38","€3,060.42", € -   , € -   ,€7.99,"€1,388.29",€187.68, € -   ,€322.96,"€1,959.11","€2,197.20","€1,319.34","€1,363.62", € -   ,"€2,222.55","€1,341.39","€1,948.22",€532.96,€170.57,€119.47, € -   
31,3, Homesavers Monks Land Athlone (B) ,"€5,897.14", € -   , € -   , € -   , € -   ,"€1,246.27",€211.45,€5.99, € -   ,€88.92,"€2,481.16",€127.00, € -   ,€69.09, € -   , € -   ,€32.75, € -   , € -   , € -   ,€16.26, € -   , € -   ,€5.90, € -   ,"€1,612.35", € -   
31,3, Homesavers Athy ,"€11,521.36", € -   , € -   , € -   ,"€1,084.17",€252.28,€810.00,"€1,220.47", € -   ,€11.16,€448.99,€718.75,€6.95, € -   ,€331.77,€469.23,€590.32,€848.58,€605.29, € -   ,"€1,180.50",€355.82,"€1,167.40",€317.96,€54.67,"€1,047.05", € -   
31,3, Homesavers Axis Centre Longford ,"€14,935.77", € -   , € -   , € -   ,"€1,175.27",€449.92,"€1,429.65","€1,169.51", € -   ,€29.35,€383.66,€504.69,€4.00,€23.71,€156.95,"€1,120.67","€1,220.59",€947.27,€576.85, € -   ,"€1,827.09",€716.01,€655.65,€428.27,€59.73,"€2,056.93", € -   
31,3, Homesavers Ballyfermot ,"€25,745.26",€21.00,€2.50, € -   ,"€2,306.20",€874.19,"€2,182.85","€3,891.97", € -   ,€5.98,"€1,015.21","€1,990.28",€7.00, € -   ,€466.85,"€2,370.68","€1,639.64",€547.83,€650.31, € -   ,"€2,838.02","€1,306.08","€1,922.52",€401.90,€198.48,"€1,105.77", € -   
31,3, Homesavers Ballyshannon ,"€21,733.53", € -   , € -   , € -   ,"€1,716.02",€667.41,"€1,113.42","€2,331.29", € -   ,€3.84,€659.35,"€1,510.12",€9.54,€18.59,€462.45,"€1,786.59","€1,342.93","€1,280.08",€473.57, € -   ,"€2,773.11",€786.50,"€1,330.76",€736.74,€346.81,"€2,384.41", € -   
